2014-05-15 08:00:55,30179,6989,2014-05-15 08:00:56,NULL,NULL,2014-05-15 08:02:29
2014-05-15 08:01:10,30172,6940,2014-05-15 08:01:11,NULL,NULL,2014-05-15 08:06:33
2014-05-15 08:01:14,30179,8076,2014-05-15 08:01:15,NULL,NULL,2014-05-15 08:02:04
2014-05-15 08:01:19,30172,9423,2014-05-15 08:01:20,NULL,NULL,2014-05-15 08:04:48
2014-05-15 08:02:09,30172,6922,2014-05-15 08:02:10,NULL,NULL,2014-05-15 08:04:05
2014-05-15 08:02:42,30175,9695,2014-05-15 08:02:43,NULL,NULL,2014-05-15 08:04:38
2014-05-15 08:02:53,30560,6935,2014-05-15 08:02:54,2014-05-15 08:04:01,2014-05-15 08:04:47,2014-05-15 08:05:26
2014-05-15 08:02:53,30179,9693,2014-05-15 08:02:54,2014-05-15 08:05:03,2014-05-15 08:05:40,2014-05-15 08:13:51
2014-05-15 08:03:29,30560,8077,2014-05-15 08:03:30,NULL,NULL,2014-05-15 08:06:59
2014-05-15 08:03:37,30172,7479,2014-05-15 08:03:38,NULL,NULL,2014-05-15 08:13:40
2014-05-15 08:03:52,30172,8514,2014-05-15 08:03:53,NULL,NULL,2014-05-15 08:04:47
2014-05-15 08:03:53,30175,9109,2014-05-15 08:03:54,NULL,NULL,2014-05-15 08:04:44
2014-05-15 08:05:05,30172,6949,2014-05-15 08:05:05,NULL,NULL,2014-05-15 08:13:51
2014-05-15 08:05:26,30560,7823,2014-05-15 08:05:27,NULL,NULL,2014-05-15 08:10:42
2014-05-15 08:05:53,30560,8861,2014-05-15 08:05:54,NULL,NULL,2014-05-15 08:09:49
2014-05-15 08:06:43,30560,8076,2014-05-15 08:06:44,NULL,NULL,2014-05-15 08:10:58
2014-05-15 08:06:53,30560,6989,2014-05-15 08:06:54,2014-05-15 08:08:35,2014-05-15 08:09:14,2014-05-15 08:11:35
2014-05-15 08:07:05,30175,6922,2014-05-15 08:07:06,NULL,NULL,2014-05-15 08:08:29
2014-05-15 08:07:09,30175,9695,2014-05-15 08:07:10,2014-05-15 08:08:11,2014-05-15 08:08:41,2014-05-15 08:10:24
2014-05-15 08:07:28,30560,6935,2014-05-15 08:07:29,NULL,NULL,2014-05-15 08:12:16
2014-05-15 08:07:31,30560,8514,2014-05-15 08:07:32,NULL,NULL,2014-05-15 08:08:02
2014-05-15 08:07:44,30175,9423,2014-05-15 08:07:45,NULL,NULL,2014-05-15 08:09:14
2014-05-15 08:07:48,30172,9109,2014-05-15 08:07:49,NULL,NULL,2014-05-15 08:08:06
2014-05-15 08:08:13,30172,6940,2014-05-15 08:08:14,NULL,NULL,2014-05-15 08:10:24
2014-05-15 08:08:23,30179,9693,2014-05-15 08:08:24,NULL,NULL,2014-05-15 08:20:41
2014-05-15 08:08:24,30560,8077,2014-05-15 08:08:24,NULL,NULL,2014-05-15 08:12:44
2014-05-15 08:08:32,30560,9109,2014-05-15 08:08:33,NULL,NULL,2014-05-15 08:12:22
2014-05-15 08:08:38,30560,8514,2014-05-15 08:08:39,NULL,NULL,2014-05-15 08:09:06
2014-05-15 08:09:02,30176,6922,2014-05-15 08:09:03,NULL,NULL,2014-05-15 08:15:04
2014-05-15 08:09:10,30175,9695,2014-05-15 08:09:11,2014-05-15 08:10:30,2014-05-15 08:11:00,2014-05-15 08:19:41
2014-05-15 08:09:10,30175,8514,2014-05-15 08:09:11,NULL,NULL,2014-05-15 08:09:24
2014-05-15 08:09:59,30175,9423,2014-05-15 08:10:00,NULL,NULL,2014-05-15 08:11:23
2014-05-15 08:10:11,30175,6989,2014-05-15 08:10:12,2014-05-15 08:12:28,NULL,2014-05-15 08:13:42
2014-05-15 08:10:16,30172,8514,2014-05-15 08:10:17,NULL,NULL,2014-05-15 08:10:27
2014-05-15 08:10:16,30560,8861,2014-05-15 08:10:17,NULL,NULL,2014-05-15 08:10:21
2014-05-15 08:10:25,30560,8861,2014-05-15 08:10:25,NULL,NULL,2014-05-15 08:11:17
2014-05-15 08:10:28,30560,8514,2014-05-15 08:10:29,NULL,NULL,2014-05-15 08:10:46
2014-05-15 08:10:30,30175,6940,2014-05-15 08:10:33,NULL,NULL,2014-05-15 08:11:20
2014-05-15 08:10:33,30172,7823,2014-05-15 08:10:47,NULL,NULL,2014-05-15 08:19:41
2014-05-15 08:10:40,30175,9695,2014-05-15 08:11:02,2014-05-15 08:11:37,2014-05-15 08:11:57,2014-05-15 08:18:43
2014-05-15 08:11:07,30172,8076,2014-05-15 08:11:08,NULL,NULL,2014-05-15 08:17:30
2014-05-15 08:11:22,30560,8861,2014-05-15 08:11:23,NULL,NULL,2014-05-15 08:11:27
