2014-04-26 09:31:29,30179,NULL,NULL,NULL,NULL,2014-04-26 09:45:14
2014-04-26 10:40:39,30066,NULL,NULL,NULL,NULL,2014-04-26 10:47:39
2014-04-26 10:54:04,30179,NULL,NULL,NULL,NULL,2014-04-26 10:59:56
2014-04-26 11:33:09,30179,NULL,NULL,NULL,NULL,2014-04-26 11:43:41
2014-04-26 11:34:59,30179,NULL,NULL,NULL,NULL,2014-04-26 11:50:16
2014-04-26 12:46:40,30179,NULL,NULL,NULL,NULL,2014-04-26 12:56:43
2014-04-26 12:57:36,30066,NULL,NULL,NULL,NULL,2014-04-26 12:59:34
2014-04-26 12:58:23,30066,NULL,NULL,NULL,NULL,2014-04-26 13:02:04
2014-04-26 13:29:05,30179,NULL,NULL,NULL,NULL,2014-04-26 13:37:30
2014-04-26 13:49:10,30179,NULL,NULL,NULL,NULL,2014-04-26 13:51:30
2014-04-26 14:26:36,30179,NULL,NULL,NULL,NULL,2014-04-26 14:28:54
2014-04-26 15:22:03,30179,NULL,NULL,NULL,NULL,2014-04-26 15:29:12
2014-04-26 16:05:15,30066,NULL,NULL,NULL,NULL,2014-04-26 16:05:19
2014-04-26 16:26:46,30172,NULL,NULL,NULL,NULL,2014-04-26 16:33:22
2014-04-26 16:34:25,30066,NULL,NULL,NULL,NULL,2014-04-26 16:41:11
